title,genre,action,humor,romance,emotion,intensity,duration,family_friendly,dark,liked,image
JurassicPark,Aventure,8,3,2,6,8,127,1,4,1,https://image.tmdb.org/t/p/w500/16zyqB62RulJvDHqNVKHA0KMNYd.jpg
GuardiansGalaxy,Action,8,9,4,7,7,121,1,2,1,https://image.tmdb.org/t/p/w500/r2J02Z2OpNTctfOSN1Ydgii51I3.jpg
SuicideSquad,Action,6,4,2,4,6,123,0,6,1,https://image.tmdb.org/t/p/w500/7rfdBBauJWI0oo5HWOac5h8l39J.jpg
SuicideSquad,Action,6,4,2,4,6,123,0,6,1,https://image.tmdb.org/t/p/w500/7rfdBBauJWI0oo5HWOac5h8l39J.jpg
FightClub,Drame,6,3,2,8,7,139,0,9,0,https://image.tmdb.org/t/p/w500/hGbTleqOR52mIV33Lbm3Szj9fSY.jpg
PercyJackson2,Fantasy,5,4,3,4,5,106,1,4,1,https://image.tmdb.org/t/p/w500/tAu90qEpLqwqiZLsMqpaMVr55oN.jpg
EmojiMovie,Animation,2,4,2,2,2,86,1,2,1,https://image.tmdb.org/t/p/w500/60bTx5z9zL1AqCjZ0gmWoRMJ6Bb.jpg
TheKissingBooth,Romance,2,5,7,5,3,105,1,3,1,https://image.tmdb.org/t/p/w500/vcQNnnXgKLacoYF4LNWgkNiDXPd.jpg
365Days,Romance,2,2,9,3,3,114,0,6,1,https://image.tmdb.org/t/p/w500/ap8pBWU5601uAQFoGWwurEo7Ugy.jpg
TheGreatestShowman,Musical,3,7,6,7,4,105,1,2,1,https://image.tmdb.org/t/p/w500/skZtt98A1rNlYt9qoSrLp0xThzQ.jpg
Interstellar,SF,7,1,3,9,8,169,0,8,1,https://image.tmdb.org/t/p/w500/yQvGrMoipbRoddT0ZR8tPoR7NfX.jpg
HarryPotter1,Fantasy,6,5,4,7,6,152,1,2,1,
CaptainAmerica,Action,7,5,2,6,7,124,1,3,1,
TransformersLastKnight,Action,7,3,1,3,8,154,0,6,1,https://image.tmdb.org/t/p/w500/s5HQf2Gb3lIO2cRcFwNL9sn1o1o.jpg
LaLaLand,Musical,2,6,8,8,3,128,1,2,0,https://image.tmdb.org/t/p/w500/bI6TlKrBMQw5XGli1lzQF3Dalgq.jpg
Joker,Drame,4,1,1,8,7,122,0,10,1,https://image.tmdb.org/t/p/w500/udDclJoHjfjb8Ekgsd4FDteOkCU.jpg
कॉकटेल २,Romance,3,6,7,8,6,149,0,4,1,https://image.tmdb.org/t/p/w500/bW1tdWzyFusyuJJT1IOdjWtKCb8.jpg
Supergirl,Action,9,6,5,7,9,108,0,4,1,https://image.tmdb.org/t/p/w500/ptyTrUvaQYkRTj42t6IMeGc0rZy.jpg
The Mandalorian and Grogu,Action,7,2,5,4,7,132,0,4,1,https://image.tmdb.org/t/p/w500/qkH4ntQtO5qnL17RFOvmkNHKpGt.jpg
À contre-sens 2 : Londres,Romance,4,4,7,6,4,123,0,4,1,https://image.tmdb.org/t/p/w500/gWVO8FmD9onEYYsZU1LMJgRNTbm.jpg
Toy Story 4,Familial,6,8,2,7,5,100,1,3,1,https://image.tmdb.org/t/p/w500/smFyhZHuOCZEmH0kfXOrJLC3Acx.jpg
Bhooth Bangla,Horreur,2,6,2,5,9,163,0,7,0,https://image.tmdb.org/t/p/w500/nDZdP9NBxvbIabDQflfhKXVTjnz.jpg
Salitan,Drame,4,4,4,8,6,105,0,2,1,https://image.tmdb.org/t/p/w500/rMgG7cWuq9O6zhhLs2CbqIKVA8V.jpg
Backrooms,Horreur,4,4,3,7,7,105,0,8,1,https://image.tmdb.org/t/p/w500/thQQ3BBBhGDtWm3UTtabhyDJd8U.jpg
Le Réveil de la Momie,Horreur,4,4,6,4,6,133,0,10,1,https://image.tmdb.org/t/p/w500/f77yGBGOjainowvlGHU70CCQrjV.jpg
"Super Mario Galaxy, le film",Familial,2,7,2,6,5,100,1,2,1,https://image.tmdb.org/t/p/w500/aSQktALDmbunDbwkuZbZFMEWVFr.jpg
The Furious,Action,7,4,5,6,9,113,0,4,1,https://image.tmdb.org/t/p/w500/94rNmtdyclSnO3OOnVBW2Isy9r0.jpg
Scary Movie,Comédie,3,7,2,5,3,96,0,2,0,https://image.tmdb.org/t/p/w500/gIComZ1TfZdWmuD4L4mJ8sEv0km.jpg
Disclosure Day,Science-Fiction,5,3,4,3,7,145,0,3,1,https://image.tmdb.org/t/p/w500/8GRMeKaDFnuzXBzqGiDMzCFDnwQ.jpg
